timestamp,run_id,split,scenario_label,event_stage,rated_current_a,current_l1_a,current_l2_a,current_l3_a,cabinet_temperature_c,surface_temperature_l1_c,surface_temperature_l2_c,surface_temperature_l3_c,relative_humidity_pct,pd_index,pd_pulse_count,arc_status,overload_flag,connection_fault_flag,insulation_risk_flag
2026-01-01T00:00:00,run_001,train,arc,normal,600.0,249.21,241.65,250.36,29.08,32.97,35.67,35.67,55.79,2.09,2,0,0,0,0
2026-01-01T00:05:00,run_001,train,arc,normal,600.0,238.36,242.59,236.87,28.77,33.12,35.37,35.49,55.78,5.1,3,0,0,0,0
2026-01-01T00:10:00,run_001,train,arc,normal,600.0,233.28,230.08,237.83,28.58,33.18,35.18,35.32,56.0,4.24,5,0,0,0,0
2026-01-01T00:15:00,run_001,train,arc,normal,600.0,232.31,234.87,229.63,28.35,33.12,34.91,35.08,56.21,2.71,2,0,0,0,0
2026-01-01T00:20:00,run_001,train,arc,normal,600.0,227.87,233.1,233.41,28.09,32.92,34.7,34.84,56.3,2.8,3,0,0,0,0
2026-01-01T00:25:00,run_001,train,arc,normal,600.0,227.34,222.4,228.71,27.99,32.85,34.5,34.67,56.6,6.09,4,0,0,0,0
2026-01-01T00:30:00,run_001,train,arc,normal,600.0,222.85,230.5,231.57,27.69,32.88,34.07,34.49,56.74,1.73,3,0,0,0,0
2026-01-01T00:35:00,run_001,train,arc,normal,600.0,235.08,235.23,231.82,27.55,32.83,33.9,34.18,56.92,7.06,5,0,0,0,0
2026-01-01T00:40:00,run_001,train,arc,normal,600.0,238.99,243.32,233.37,27.41,32.89,33.61,33.83,57.03,3.79,2,0,0,0,0
2026-01-01T00:45:00,run_001,train,arc,normal,600.0,237.35,236.29,241.73,27.31,32.66,33.35,33.67,56.89,3.71,5,0,0,0,0
2026-01-01T00:50:00,run_001,train,arc,normal,600.0,241.0,231.61,246.56,27.16,32.64,33.2,33.54,57.02,2.07,4,0,0,0,0
2026-01-01T00:55:00,run_001,train,arc,normal,600.0,227.8,229.68,219.85,27.07,32.65,33.24,33.35,56.98,4.56,4,0,0,0,0
